2025-10-23 17:37:36.319 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 120, bold: True)
2025-10-23 17:37:36.319 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1660 - Destination text width: 240, min_safe_x: 128, using center_x: 284
2025-10-23 17:37:36.319 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1686 - Using promote_text from AI analysis: 國泰抵飛首爾！
包20kg行李超值！
2025-10-23 17:37:36.319 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 120, bold: True)
2025-10-23 17:37:36.320 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1713 - Combined text: '首爾
國泰抵飛首爾！
包20kg行李超值！'
2025-10-23 17:37:36.320 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1714 - Combined text width: 984, min_safe_x: 351, using combined_text x: 164
2025-10-23 17:37:36.320 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 120, bold: True)
2025-10-23 17:37:36.320 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:880 - Loading BOLD font for line '首爾' (size: 120)
2025-10-23 17:37:36.320 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:904 - Using TRUE BOLD font for '首爾' - drawing once
2025-10-23 17:37:36.416 | INFO     | open_webui.routers.pollinations:_draw_text_with_border:1095 - Drew rotated text with border '首爾' at position (30, 90) with rotation -7°
2025-10-23 17:37:36.416 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:955 - Added line 0: '首爾' at (30, 90) with style {'line_index': 0, 'font_size': 120, 'text_color': (122, 40, 156), 'border_color': (255, 255, 255), 'border_width': 6, 'bold': True}
2025-10-23 17:37:36.416 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 35, bold: True)
2025-10-23 17:37:36.416 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:880 - Loading BOLD font for line '國泰抵飛首爾！' (size: 35)
2025-10-23 17:37:36.417 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:904 - Using TRUE BOLD font for '國泰抵飛首爾！' - drawing once
2025-10-23 17:37:36.447 | INFO     | open_webui.routers.pollinations:_draw_text_with_border:1095 - Drew rotated text with border '國泰抵飛首爾！' at position (55, 213) with rotation -7°
2025-10-23 17:37:36.448 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:955 - Added line 1: '國泰抵飛首爾！' at (30, 213) with style {'line_index': 1, 'font_size': 35, 'text_color': (79, 201, 226), 'border_color': (255, 255, 255), 'border_width': 4, 'bold': True}
2025-10-23 17:37:36.448 | INFO     | open_webui.routers.pollinations:_load_chinese_font:1017 - Successfully loaded font: /usr/share/fonts/truetype/wqy/wqy-zenhei.ttc (size: 35, bold: True)
2025-10-23 17:37:36.448 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:880 - Loading BOLD font for line '包20kg行李超值！' (size: 35)
2025-10-23 17:37:36.448 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:904 - Using TRUE BOLD font for '包20kg行李超值！' - drawing once
2025-10-23 17:37:36.475 | INFO     | open_webui.routers.pollinations:_draw_text_with_border:1095 - Drew rotated text with border '包20kg行李超值！' at position (55, 250) with rotation -7°
2025-10-23 17:37:36.475 | INFO     | open_webui.routers.pollinations:_add_multiline_text_with_styles:955 - Added line 2: '包20kg行李超值！' at (30, 250) with style {'line_index': 2, 'font_size': 35, 'text_color': (79, 201, 226), 'border_color': (255, 255, 255), 'border_width': 4, 'bold': True}
2025-10-23 17:37:36.475 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1754 - Successfully added multiline text with different styles
2025-10-23 17:37:36.475 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1801 - Added white border: margin=15px, width=8px
2025-10-23 17:37:36.476 | INFO     | open_webui.routers.pollinations:_add_bottom_banner:1809 - Saved edited image: 148548 bytes
2025-10-23 17:37:36.477 | INFO     | open_webui.routers.pollinations:generate_scenic_image:369 - Successfully added bottom banner to generated image. Edited size: 148548 bytes
2025-10-23 17:37:36.477 | INFO     | open_webui.routers.pollinations:_add_text_to_flight_info:1254 - Adding text overlays to flight info image
